Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
5,609375E+2	8,682139E-1	5,609375E+2	9,072755E-1	5,609375E+2	1,204740E+0	5,609375E+2	5,229983E-1
5,625000E+2	1,319433E+0	5,625000E+2	7,972837E-1	5,625000E+2	1,018995E+0	5,625000E+2	4,421305E-1
5,640625E+2	7,070753E-1	5,640625E+2	-5,303270E-1	5,640625E+2	5,101453E+0	5,640625E+2	2,824169E-1
5,656250E+2	3,704368E-1	5,656250E+2	-2,662139E+0	5,656250E+2	7,101233E+0	5,656250E+2	1,313339E-1
5,671875E+2	6,188021E-1	5,671875E+2	-3,019172E+0	5,671875E+2	6,771753E+0	5,671875E+2	-1,002250E-1
5,687500E+2	8,712631E-1	5,687500E+2	-3,408618E+0	5,687500E+2	6,461813E+0	5,687500E+2	-3,390227E-1
5,703125E+2	1,283531E+0	5,703125E+2	-3,779035E+0	5,703125E+2	5,613575E+0	5,703125E+2	-5,999729E-1
5,718750E+2	1,689479E+0	5,718750E+2	-4,180595E+0	5,718750E+2	1,482177E+0	5,718750E+2	-8,866009E-1
5,734375E+2	2,104349E+0	5,734375E+2	-4,836472E+0	5,734375E+2	1,253839E+0	5,734375E+2	-1,152335E+0
5,750000E+2	2,550264E+0	5,750000E+2	-5,575989E+0	5,750000E+2	1,022221E+0	5,750000E+2	-1,446510E+0
5,765625E+2	2,336692E+0	5,765625E+2	-6,118734E+0	5,765625E+2	7,425620E-1	5,765625E+2	-1,709671E+0
5,781250E+2	2,101698E+0	5,781250E+2	-6,718158E+0	5,781250E+2	4,515373E-1	5,781250E+2	-2,000120E+0
5,796875E+2	1,836132E+0	5,796875E+2	-2,677873E+0	5,796875E+2	1,810100E-1	5,796875E+2	-2,246668E+0
5,812500E+2	1,545108E+0	5,812500E+2	1,037693E+0	5,812500E+2	-1,072358E-1	5,812500E+2	-2,516492E+0
5,828125E+2	1,245109E+0	5,828125E+2	9,639197E-1	5,828125E+2	-3,961890E-1	5,828125E+2	-2,748937E+0
5,843750E+2	9,171788E-1	5,843750E+2	8,859972E-1	5,843750E+2	-7,027326E-1	5,843750E+2	-3,000895E+0
5,859375E+2	5,926130E-1	5,859375E+2	9,086373E-1	5,859375E+2	-9,618121E-1	5,859375E+2	-9,800170E-1
5,875000E+2	2,389419E-1	5,875000E+2	9,315936E-1	5,875000E+2	-1,238131E+0	5,875000E+2	1,184899E+0
5,890625E+2	-8,228818E-2	5,890625E+2	1,009239E+0	5,890625E+2	-1,474234E+0	5,890625E+2	1,233519E+0
5,906250E+2	-4,287491E-1	5,906250E+2	1,088192E+0	5,906250E+2	-1,725658E+0	5,906250E+2	1,282631E+0
5,921875E+2	-7,456864E-1	5,921875E+2	1,166798E+0	5,921875E+2	-1,895500E+0	5,921875E+2	1,340003E+0
5,937500E+2	-1,085714E+0	5,937500E+2	1,246855E+0	5,937500E+2	-2,075319E+0	5,937500E+2	1,397239E+0
5,953125E+2	-1,375087E+0	5,953125E+2	1,299670E+0	5,953125E+2	9,672004E-2	5,953125E+2	1,403681E+0
5,968750E+2	-1,682011E+0	5,968750E+2	1,353394E+0	5,968750E+2	2,449268E+0	5,968750E+2	1,409124E+0
5,984375E+2	-1,954345E+0	5,984375E+2	1,383708E+0	5,984375E+2	2,490757E+0	5,984375E+2	1,395511E+0
6,000000E+2	-2,241673E+0	6,000000E+2	1,414436E+0	6,000000E+2	2,531004E+0	6,000000E+2	1,380392E+0
6,015625E+2	-2,500009E+0	6,015625E+2	1,392686E+0	6,015625E+2	2,519300E+0	6,015625E+2	1,347478E+0
6,031250E+2	-2,771339E+0	6,031250E+2	1,370944E+0	6,031250E+2	2,504994E+0	6,031250E+2	1,312847E+0
